Latitude,Longitude,Roll,Pitch,Yaw,Speed,Course,Altitude,Climb
0.0,0.0,-158.57,30.54,-159.13,0.0,0.0,0.0,0.0
0.0,0.0,-157.77,31.3,-157.91,0.0,0.0,0.0,0.0
0.0,0.0,-156.76,32.32,-156.45,0.0,0.0,0.0,0.0
0.0,0.0,-155.59,33.52,-154.84,0.0,0.0,0.0,0.0
0.0,0.0,-154.42,34.67,-153.34,0.0,0.0,0.0,0.0
0.0,0.0,-152.94,36.06,-151.5,0.0,0.0,0.0,0.0
0.0,0.0,-151.46,37.39,-149.69,0.0,0.0,0.0,0.0
0.0,0.0,-149.84,38.77,-147.74,0.0,0.0,0.0,0.0
0.0,0.0,-148.01,40.21,-145.58,0.0,0.0,0.0,0.0
0.0,0.0,-146.12,41.55,-143.38,0.0,0.0,0.0,0.0
0.0,0.0,-144.27,42.76,-141.26,0.0,0.0,0.0,0.0
0.0,0.0,-141.99,44.1,-138.65,0.0,0.0,0.0,0.0
0.0,0.0,-139.67,45.31,-136.0,0.0,0.0,0.0,0.0
0.0,0.0,-137.38,46.37,-133.39,0.0,0.0,0.0,0.0
0.0,0.0,-135.11,47.3,-130.81,0.0,0.0,0.0,0.0
0.0,0.0,-132.64,48.18,-128.02,0.0,0.0,0.0,0.0
0.0,0.0,-129.92,49.01,-124.95,0.0,0.0,0.0,0.0
0.0,0.0,-127.55,49.61,-122.29,0.0,0.0,0.0,0.0
0.0,0.0,-125.38,50.08,-119.85,0.0,0.0,0.0,0.0
0.0,0.0,-122.93,50.51,-117.12,0.0,0.0,0.0,0.0
0.0,0.0,-120.54,50.82,-114.46,0.0,0.0,0.0,0.0
0.0,0.0,-118.5,51.01,-112.17,0.0,0.0,0.0,0.0
0.0,0.0,-116.47,51.1,-109.9,0.0,0.0,0.0,0.0
0.0,0.0,-114.84,51.07,-108.08,0.0,0.0,0.0,0.0
0.0,0.0,-113.36,50.91,-106.48,0.0,0.0,0.0,0.0
0.0,0.0,-112.2,50.68,-105.25,0.0,0.0,0.0,0.0
0.0,0.0,-111.2,50.35,-104.2,0.0,0.0,0.0,0.0
0.0,0.0,-110.41,49.98,-103.4,0.0,0.0,0.0,0.0
0.0,0.0,-109.81,49.63,-102.81,0.0,0.0,0.0,0.0
0.0,0.0,-109.22,49.17,-102.25,0.0,0.0,0.0,0.0
0.0,0.0,-108.72,48.7,-101.8,0.0,0.0,0.0,0.0
0.0,0.0,-108.27,48.19,-101.42,0.0,0.0,0.0,0.0
0.0,0.0,-107.85,47.62,-101.07,0.0,0.0,0.0,0.0
0.0,0.0,-107.44,47.11,-100.74,0.0,0.0,0.0,0.0
0.0,0.0,-107.12,46.57,-100.51,0.0,0.0,0.0,0.0
0.0,0.0,-106.84,46.04,-100.29,0.0,0.0,0.0,0.0
0.0,0.0,-106.59,45.53,-100.09,0.0,0.0,0.0,0.0
0.0,0.0,-106.28,44.94,-99.86,0.0,0.0,0.0,0.0
0.0,0.0,-106.06,44.39,-99.7,0.0,0.0,0.0,0.0
0.0,0.0,-105.84,43.78,-99.55,0.0,0.0,0.0,0.0
0.0,0.0,-105.57,43.12,-99.34,0.0,0.0,0.0,0.0
0.0,0.0,-105.35,42.54,-99.18,0.0,0.0,0.0,0.0
0.0,0.0,-105.17,41.95,-99.02,0.0,0.0,0.0,0.0
0.0,0.0,-104.98,41.38,-98.89,0.0,0.0,0.0,0.0
0.0,0.0,-104.79,40.78,-98.72,0.0,0.0,0.0,0.0
0.0,0.0,-104.62,40.14,-98.58,0.0,0.0,0.0,0.0
0.0,0.0,-104.47,39.55,-98.44,0.0,0.0,0.0,0.0
0.0,0.0,-104.32,38.9,-98.29,0.0,0.0,0.0,0.0
