Latitude,Longitude,Roll,Pitch,Yaw,Speed,Course,Altitude,Climb
0.0,0.0,-48.06,13.49,172.96,0.0,0.0,0.0,0.0
0.0,0.0,-49.42,4.71,173.17,0.0,0.0,0.0,0.0
0.0,0.0,-51.05,-4.4,174.21,0.0,0.0,0.0,0.0
0.0,0.0,-53.21,-13.38,176.24,0.0,0.0,0.0,0.0
0.0,0.0,-56.09,-21.7,179.34,0.0,0.0,0.0,0.0
0.0,0.0,-60.04,-29.32,-176.2,0.0,0.0,0.0,0.0
0.0,0.0,-65.42,-35.99,-170.01,0.0,0.0,0.0,0.0
0.0,0.0,-72.1,-41.09,-162.37,0.0,0.0,0.0,0.0
0.0,0.0,-79.88,-44.5,-153.38,0.0,0.0,0.0,0.0
0.0,0.0,-88.19,-46.17,-143.69,0.0,0.0,0.0,0.0
0.0,0.0,-96.4,-46.18,-133.92,0.0,0.0,0.0,0.0
0.0,0.0,-103.38,-44.82,-125.25,0.0,0.0,0.0,0.0
0.0,0.0,-109.17,-42.4,-117.66,0.0,0.0,0.0,0.0
0.0,0.0,-113.58,-39.27,-111.37,0.0,0.0,0.0,0.0
0.0,0.0,-116.76,-35.74,-106.35,0.0,0.0,0.0,0.0
0.0,0.0,-118.99,-31.97,-102.28,0.0,0.0,0.0,0.0
0.0,0.0,-120.48,-28.15,-99.02,0.0,0.0,0.0,0.0
0.0,0.0,-121.43,-24.35,-96.38,0.0,0.0,0.0,0.0
0.0,0.0,-122.01,-20.58,-94.24,0.0,0.0,0.0,0.0
0.0,0.0,-122.29,-16.97,-92.54,0.0,0.0,0.0,0.0
0.0,0.0,-122.4,-13.37,-91.14,0.0,0.0,0.0,0.0
0.0,0.0,-122.36,-9.95,-90.06,0.0,0.0,0.0,0.0
0.0,0.0,-122.25,-6.61,-89.23,0.0,0.0,0.0,0.0
0.0,0.0,-122.11,-3.43,-88.64,0.0,0.0,0.0,0.0
0.0,0.0,-121.93,-0.42,-88.25,0.0,0.0,0.0,0.0
0.0,0.0,-121.79,2.48,-88.04,0.0,0.0,0.0,0.0
0.0,0.0,-121.66,5.33,-87.99,0.0,0.0,0.0,0.0
0.0,0.0,-121.54,8.02,-88.08,0.0,0.0,0.0,0.0
0.0,0.0,-121.37,10.7,-88.32,0.0,0.0,0.0,0.0
0.0,0.0,-121.33,13.29,-88.72,0.0,0.0,0.0,0.0
0.0,0.0,-121.44,15.71,-89.26,0.0,0.0,0.0,0.0
0.0,0.0,-121.61,17.98,-89.89,0.0,0.0,0.0,0.0
0.0,0.0,-121.83,20.21,-90.63,0.0,0.0,0.0,0.0
0.0,0.0,-122.15,22.3,-91.47,0.0,0.0,0.0,0.0
0.0,0.0,-122.55,24.41,-92.43,0.0,0.0,0.0,0.0
0.0,0.0,-122.99,26.33,-93.41,0.0,0.0,0.0,0.0
0.0,0.0,-123.53,28.18,-94.49,0.0,0.0,0.0,0.0
0.0,0.0,-124.1,29.93,-95.59,0.0,0.0,0.0,0.0
0.0,0.0,-124.76,31.62,-96.78,0.0,0.0,0.0,0.0
0.0,0.0,-125.49,33.26,-98.01,0.0,0.0,0.0,0.0
0.0,0.0,-126.26,34.76,-99.24,0.0,0.0,0.0,0.0
0.0,0.0,-127.07,36.22,-100.54,0.0,0.0,0.0,0.0
0.0,0.0,-127.95,37.61,-101.87,0.0,0.0,0.0,0.0
0.0,0.0,-128.87,38.92,-103.21,0.0,0.0,0.0,0.0
0.0,0.0,-129.8,40.21,-104.57,0.0,0.0,0.0,0.0
0.0,0.0,-130.82,41.45,-106.0,0.0,0.0,0.0,0.0
