Latitude,Longitude,Roll,Pitch,Yaw,Speed,Course,Altitude,Climb
0.0,0.0,-88.9,33.65,-86.85,0.0,0.0,0.0,0.0
0.0,0.0,-89.01,33.36,-87.52,0.0,0.0,0.0,0.0
0.0,0.0,-88.5,32.93,-86.93,0.0,0.0,0.0,0.0
0.0,0.0,-88.23,32.42,-86.98,0.0,0.0,0.0,0.0
0.0,0.0,-89.1,31.93,-87.5,0.0,0.0,0.0,0.0
0.0,0.0,-89.47,31.52,-86.95,0.0,0.0,0.0,0.0
0.0,0.0,-90.6,31.14,-88.8,0.0,0.0,0.0,0.0
0.0,0.0,-90.48,30.8,-89.34,0.0,0.0,0.0,0.0
0.0,0.0,-90.04,30.2,-89.99,0.0,0.0,0.0,0.0
0.0,0.0,-90.81,29.73,-90.15,0.0,0.0,0.0,0.0
0.0,0.0,-91.15,29.28,-90.15,0.0,0.0,0.0,0.0
0.0,0.0,-91.46,28.79,-90.13,0.0,0.0,0.0,0.0
0.0,0.0,-91.99,28.33,-90.14,0.0,0.0,0.0,0.0
0.0,0.0,-90.79,28.0,-89.06,0.0,0.0,0.0,0.0
0.0,0.0,-91.03,27.6,-88.54,0.0,0.0,0.0,0.0
0.0,0.0,-90.74,27.16,-88.53,0.0,0.0,0.0,0.0
0.0,0.0,-91.08,26.8,-88.5,0.0,0.0,0.0,0.0
0.0,0.0,-90.51,26.34,-89.3,0.0,0.0,0.0,0.0
0.0,0.0,-90.74,25.7,-89.58,0.0,0.0,0.0,0.0
0.0,0.0,-90.61,25.29,-90.12,0.0,0.0,0.0,0.0
0.0,0.0,-91.08,24.75,-90.18,0.0,0.0,0.0,0.0
0.0,0.0,-90.64,24.25,-90.18,0.0,0.0,0.0,0.0
0.0,0.0,-89.97,23.87,-89.76,0.0,0.0,0.0,0.0
0.0,0.0,-92.09,23.68,-89.78,0.0,0.0,0.0,0.0
0.0,0.0,-91.72,23.2,-88.97,0.0,0.0,0.0,0.0
0.0,0.0,-90.61,22.86,-87.98,0.0,0.0,0.0,0.0
0.0,0.0,-90.81,22.36,-88.02,0.0,0.0,0.0,0.0
0.0,0.0,-90.08,21.92,-88.53,0.0,0.0,0.0,0.0
0.0,0.0,-89.67,21.38,-87.96,0.0,0.0,0.0,0.0
0.0,0.0,-89.46,20.94,-87.74,0.0,0.0,0.0,0.0
0.0,0.0,-89.88,20.48,-87.86,0.0,0.0,0.0,0.0
0.0,0.0,-90.17,19.99,-88.33,0.0,0.0,0.0,0.0
0.0,0.0,-90.27,19.55,-88.68,0.0,0.0,0.0,0.0
0.0,0.0,-89.39,19.21,-88.95,0.0,0.0,0.0,0.0
-0.503,1.53,-90.47,18.74,-88.98,175.72,0.209,2.504,0.0
0.0,0.0,-91.64,17.72,-88.83,0.0,0.0,0.0,0.0
0.0,0.0,-90.68,17.31,-88.41,0.0,0.0,0.0,0.0
0.0,0.0,-90.56,16.72,-88.14,0.0,0.0,0.0,0.0
0.0,0.0,-90.51,16.38,-88.2,0.0,0.0,0.0,0.0
0.0,0.0,-90.98,15.93,-88.88,0.0,0.0,0.0,0.0
0.0,0.0,-91.61,15.35,-88.8,0.0,0.0,0.0,0.0
